id,name,domain,tier,segment,contacts
55459594314,"3M Co",,A,building_materials_industrial,0
55459167804,"ABF Freight System Inc.",,A,3pl_carrier,0
55554511382,"Advance Auto Parts Distribution Center",,A,automotive_heavy_mfg,0
55459616578,"Advance Auto Parts Distribution Center Kutztown",,A,automotive_heavy_mfg,0
55459352909,"Albertsons Manufacturing Plant",,A,retail_grocery,0
55459515213,"ALDI Distribution Center",,A,retail_grocery,0
55459572368,"ALDI Distribution Center truck entrance",,A,retail_grocery,0
55459224700,"Amcor Flexibles Madison",,A,paper_packaging,0
55459534944,"Amcor plastic",,A,paper_packaging,0
55459441213,"Amcor Rigid Plastics",,A,paper_packaging,0
55459491461,"Americold Cold Storage",,A,cold_chain,0
55554498689,"Americold Logistics",,A,cold_chain,0
55459528820,"Americold Logistics - Grand Rapids",,A,cold_chain,0
55459238161,"Americold Logistics Anaheim",,A,cold_chain,0
55459291311,"Americold Logistics Baytown",,A,cold_chain,0
55459560546,"Americold Logistics Brighton",,A,cold_chain,0
55459540383,"Americold Logistics C of I 14890",,A,cold_chain,0
55459311433,"Americold Logistics Dallas",,A,cold_chain,0
55459540378,"Americold Logistics Hatfield",,A,cold_chain,0
55459217707,"Americold Logistics Houston",,A,cold_chain,0
55459213729,"Americold Logistics Indianapolis",,A,cold_chain,0
55459272983,"Americold Logistics Jefferson",,A,cold_chain,0
55459240026,"Americold Logistics Leesport",,A,cold_chain,0
55459285673,"Americold Logistics Meacham Ft Worth",,A,cold_chain,0
55459220016,"Americold Logistics N Little Rock",,A,cold_chain,0
55459235444,"Americold Logistics Plant City",,A,cold_chain,0
55459540400,"Americold Logistics Russellville 324",,A,cold_chain,0
55459508080,"Americold Logistics Russellville Elmira",,A,cold_chain,0
55459581609,"Americold Logistics Tampa Maple",,A,cold_chain,0
55459253920,"Americold Logistics, Allentown - Snowdrift",,A,cold_chain,0
55459461003,"Ashley HomeStore Distribution Center",,A,wholesale_distribution,0
55459295048,"AutoZone Distribution",,A,retail_grocery,0
